creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,adopted
GUEST_INVITE,1,0,11,False
ORG_INVITE,0,0,1,True
ORG_INVITE,0,0,94,False
GUEST_INVITE,0,0,1,False
GUEST_INVITE,0,0,193,False
GUEST_INVITE,0,0,197,False
SIGNUP,0,1,37,False
PERSONAL_PROJECTS,1,1,74,False
PERSONAL_PROJECTS,0,0,302,False
ORG_INVITE,1,1,318,True
SIGNUP,0,0,69,False
ORG_INVITE,0,0,130,False
ORG_INVITE,0,0,254,False
SIGNUP,0,0,0,False
PERSONAL_PROJECTS,0,0,175,False
PERSONAL_PROJECTS,0,0,211,False
GUEST_INVITE,1,0,175,False
GUEST_INVITE,0,0,2,False
SIGNUP,1,0,0,False
SIGNUP,0,0,58,True
PERSONAL_PROJECTS,0,0,54,False
ORG_INVITE,0,0,7,False
ORG_INVITE,1,0,6,False
SIGNUP,1,0,123,False
GUEST_INVITE,1,0,81,False
ORG_INVITE,0,0,56,False
ORG_INVITE,0,0,134,False
SIGNUP,0,0,6,False
SIGNUP,0,0,92,False
GUEST_INVITE,0,0,251,False
SIGNUP,0,0,283,False
PERSONAL_PROJECTS,1,1,98,False
GUEST_INVITE,0,0,401,True
ORG_INVITE,0,0,33,False
PERSONAL_PROJECTS,0,0,59,False
GUEST_INVITE,1,0,109,False
SIGNUP,0,0,276,False
PERSONAL_PROJECTS,0,0,208,False
ORG_INVITE,1,0,332,False
GUEST_INVITE,0,0,2,False
ORG_INVITE,0,0,64,False
SIGNUP,1,0,235,True
GUEST_INVITE,0,0,63,True
SIGNUP,0,0,14,False
SIGNUP_GOOGLE_AUTH,1,0,4,False
ORG_INVITE,0,0,127,False
ORG_INVITE,1,1,32,False
ORG_INVITE,0,0,224,False
SIGNUP,0,0,304,False
GUEST_INVITE,0,0,61,True
ORG_INVITE,0,1,0,False
PERSONAL_PROJECTS,0,0,0,False
GUEST_INVITE,0,0,37,True
GUEST_INVITE,1,1,51,False
SIGNUP_GOOGLE_AUTH,0,0,229,False
GUEST_INVITE,0,0,229,False
GUEST_INVITE,0,0,88,False
ORG_INVITE,1,0,304,False
SIGNUP_GOOGLE_AUTH,0,0,325,False
ORG_INVITE,0,0,88,True
SIGNUP_GOOGLE_AUTH,0,0,150,False
SIGNUP,0,0,347,False
SIGNUP_GOOGLE_AUTH,0,0,203,True
SIGNUP,0,0,21,False
SIGNUP_GOOGLE_AUTH,0,0,409,False
ORG_INVITE,0,0,215,False
ORG_INVITE,0,0,141,False
SIGNUP_GOOGLE_AUTH,1,0,5,False
GUEST_INVITE,0,0,107,True
GUEST_INVITE,0,0,184,False
PERSONAL_PROJECTS,0,0,310,False
SIGNUP,0,0,367,False
ORG_INVITE,0,0,389,False
SIGNUP_GOOGLE_AUTH,0,0,89,True
SIGNUP,0,0,242,False
SIGNUP,1,1,51,False
SIGNUP,1,1,68,False
PERSONAL_PROJECTS,1,0,16,False
GUEST_INVITE,0,0,401,False
ORG_INVITE,1,1,49,True
PERSONAL_PROJECTS,1,0,185,True
GUEST_INVITE,0,0,91,True
ORG_INVITE,1,0,172,False
ORG_INVITE,0,0,8,False
ORG_INVITE,1,1,43,False
ORG_INVITE,0,0,249,False
SIGNUP,1,0,26,True
SIGNUP,0,0,139,False
SIGNUP,0,0,70,False
ORG_INVITE,0,0,10,False
SIGNUP,0,0,252,False
SIGNUP_GOOGLE_AUTH,0,0,91,False
ORG_INVITE,0,0,53,False
SIGNUP,0,0,69,False
PERSONAL_PROJECTS,0,0,119,False
ORG_INVITE,0,0,130,False
SIGNUP_GOOGLE_AUTH,0,0,3,False
ORG_INVITE,0,0,196,False
ORG_INVITE,0,1,335,False
ORG_INVITE,0,0,375,False
GUEST_INVITE,0,0,303,False
PERSONAL_PROJECTS,0,0,307,False
GUEST_INVITE,1,1,25,False
PERSONAL_PROJECTS,0,1,370,False
ORG_INVITE,1,1,134,False
PERSONAL_PROJECTS,0,0,83,False
SIGNUP,0,0,27,False
GUEST_INVITE,1,0,306,False
SIGNUP,1,0,118,False
ORG_INVITE,0,0,295,False
SIGNUP,0,0,19,False
ORG_INVITE,0,0,301,False
SIGNUP,0,0,100,False
GUEST_INVITE,0,0,112,False
GUEST_INVITE,0,0,263,False
ORG_INVITE,0,0,0,False
GUEST_INVITE,0,0,39,False
GUEST_INVITE,1,1,12,False
SIGNUP,0,0,184,False
GUEST_INVITE,1,0,86,False
GUEST_INVITE,1,0,402,False
GUEST_INVITE,0,0,42,False
SIGNUP,0,0,103,False
PERSONAL_PROJECTS,0,0,373,False
ORG_INVITE,0,0,268,False
ORG_INVITE,1,1,112,False
SIGNUP,0,0,30,False
SIGNUP,0,1,53,False
PERSONAL_PROJECTS,0,0,193,False
PERSONAL_PROJECTS,0,0,406,False
PERSONAL_PROJECTS,0,0,48,False
GUEST_INVITE,0,0,263,False
SIGNUP,0,0,249,True
PERSONAL_PROJECTS,0,0,4,False
ORG_INVITE,0,0,313,True
SIGNUP_GOOGLE_AUTH,1,0,92,False
PERSONAL_PROJECTS,0,0,9,False
SIGNUP_GOOGLE_AUTH,0,0,138,False
ORG_INVITE,0,0,261,False
GUEST_INVITE,0,1,35,False
ORG_INVITE,0,0,264,True
PERSONAL_PROJECTS,0,0,95,False
GUEST_INVITE,0,0,325,False
SIGNUP,1,0,55,False
GUEST_INVITE,1,0,254,False
ORG_INVITE,0,0,60,True
ORG_INVITE,0,0,1,False
PERSONAL_PROJECTS,0,0,2,False
ORG_INVITE,0,0,63,False
SIGNUP,0,0,10,False
SIGNUP,0,0,11,False
