@relation input_for_weka

@attribute creation_source {GUEST_INVITE,ORG_INVITE,SIGNUP,PERSONAL_PROJECTS,SIGNUP_GOOGLE_AUTH}
@attribute opted_in_to_mailing_list numeric
@attribute enabled_for_marketing_drip numeric
@attribute org_id numeric
@attribute adopted {FALSE,TRUE}

@data
GUEST_INVITE,1,0,11,FALSE
ORG_INVITE,0,0,1,TRUE
ORG_INVITE,0,0,94,FALSE
GUEST_INVITE,0,0,1,FALSE
GUEST_INVITE,0,0,193,FALSE
GUEST_INVITE,0,0,197,FALSE
SIGNUP,0,1,37,FALSE
PERSONAL_PROJECTS,1,1,74,FALSE
PERSONAL_PROJECTS,0,0,302,FALSE
ORG_INVITE,1,1,318,TRUE
SIGNUP,0,0,69,FALSE
ORG_INVITE,0,0,130,FALSE
ORG_INVITE,0,0,254,FALSE
SIGNUP,0,0,0,FALSE
PERSONAL_PROJECTS,0,0,175,FALSE
PERSONAL_PROJECTS,0,0,211,FALSE
GUEST_INVITE,1,0,175,FALSE
GUEST_INVITE,0,0,2,FALSE
SIGNUP,1,0,0,FALSE
SIGNUP,0,0,58,TRUE
PERSONAL_PROJECTS,0,0,54,FALSE
ORG_INVITE,0,0,7,FALSE
ORG_INVITE,1,0,6,FALSE
SIGNUP,1,0,123,FALSE
GUEST_INVITE,1,0,81,FALSE
ORG_INVITE,0,0,56,FALSE
ORG_INVITE,0,0,134,FALSE
SIGNUP,0,0,6,FALSE
SIGNUP,0,0,92,FALSE
GUEST_INVITE,0,0,251,FALSE
SIGNUP,0,0,283,FALSE
PERSONAL_PROJECTS,1,1,98,FALSE
GUEST_INVITE,0,0,401,TRUE
ORG_INVITE,0,0,33,FALSE
PERSONAL_PROJECTS,0,0,59,FALSE
GUEST_INVITE,1,0,109,FALSE
SIGNUP,0,0,276,FALSE
PERSONAL_PROJECTS,0,0,208,FALSE
ORG_INVITE,1,0,332,FALSE
GUEST_INVITE,0,0,2,FALSE
ORG_INVITE,0,0,64,FALSE
SIGNUP,1,0,235,TRUE
GUEST_INVITE,0,0,63,TRUE
SIGNUP,0,0,14,FALSE
SIGNUP_GOOGLE_AUTH,1,0,4,FALSE
ORG_INVITE,0,0,127,FALSE
ORG_INVITE,1,1,32,FALSE
ORG_INVITE,0,0,224,FALSE
SIGNUP,0,0,304,FALSE
GUEST_INVITE,0,0,61,TRUE
ORG_INVITE,0,1,0,FALSE
PERSONAL_PROJECTS,0,0,0,FALSE
GUEST_INVITE,0,0,37,TRUE
GUEST_INVITE,1,1,51,FALSE
SIGNUP_GOOGLE_AUTH,0,0,229,FALSE
GUEST_INVITE,0,0,229,FALSE
GUEST_INVITE,0,0,88,FALSE
ORG_INVITE,1,0,304,FALSE
SIGNUP_GOOGLE_AUTH,0,0,325,FALSE
ORG_INVITE,0,0,88,TRUE
SIGNUP_GOOGLE_AUTH,0,0,150,FALSE
SIGNUP,0,0,347,FALSE
SIGNUP_GOOGLE_AUTH,0,0,203,TRUE
SIGNUP,0,0,21,FALSE
SIGNUP_GOOGLE_AUTH,0,0,409,FALSE
ORG_INVITE,0,0,215,FALSE
ORG_INVITE,0,0,141,FALSE
SIGNUP_GOOGLE_AUTH,1,0,5,FALSE
GUEST_INVITE,0,0,107,TRUE
GUEST_INVITE,0,0,184,FALSE
PERSONAL_PROJECTS,0,0,310,FALSE
SIGNUP,0,0,367,FALSE
ORG_INVITE,0,0,389,FALSE
SIGNUP_GOOGLE_AUTH,0,0,89,TRUE
SIGNUP,0,0,242,FALSE
SIGNUP,1,1,51,FALSE
SIGNUP,1,1,68,FALSE
PERSONAL_PROJECTS,1,0,16,FALSE
GUEST_INVITE,0,0,401,FALSE
ORG_INVITE,1,1,49,TRUE
PERSONAL_PROJECTS,1,0,185,TRUE
GUEST_INVITE,0,0,91,TRUE
ORG_INVITE,1,0,172,FALSE
ORG_INVITE,0,0,8,FALSE
ORG_INVITE,1,1,43,FALSE
ORG_INVITE,0,0,249,FALSE
SIGNUP,1,0,26,TRUE
SIGNUP,0,0,139,FALSE
SIGNUP,0,0,70,FALSE
ORG_INVITE,0,0,10,FALSE
SIGNUP,0,0,252,FALSE
SIGNUP_GOOGLE_AUTH,0,0,91,FALSE
ORG_INVITE,0,0,53,FALSE
SIGNUP,0,0,69,FALSE
PERSONAL_PROJECTS,0,0,119,FALSE
ORG_INVITE,0,0,130,FALSE
SIGNUP_GOOGLE_AUTH,0,0,3,FALSE
ORG_INVITE,0,0,196,FALSE
ORG_INVITE,0,1,335,FALSE
ORG_INVITE,0,0,375,FALSE
GUEST_INVITE,0,0,303,FALSE
PERSONAL_PROJECTS,0,0,307,FALSE
GUEST_INVITE,1,1,25,FALSE
PERSONAL_PROJECTS,0,1,370,FALSE
ORG_INVITE,1,1,134,FALSE
PERSONAL_PROJECTS,0,0,83,FALSE
SIGNUP,0,0,27,FALSE
GUEST_INVITE,1,0,306,FALSE
SIGNUP,1,0,118,FALSE
ORG_INVITE,0,0,295,FALSE
SIGNUP,0,0,19,FALSE
ORG_INVITE,0,0,301,FALSE
SIGNUP,0,0,100,FALSE
GUEST_INVITE,0,0,112,FALSE
GUEST_INVITE,0,0,263,FALSE
ORG_INVITE,0,0,0,FALSE
GUEST_INVITE,0,0,39,FALSE
GUEST_INVITE,1,1,12,FALSE
SIGNUP,0,0,184,FALSE
GUEST_INVITE,1,0,86,FALSE
GUEST_INVITE,1,0,402,FALSE
GUEST_INVITE,0,0,42,FALSE
SIGNUP,0,0,103,FALSE
PERSONAL_PROJECTS,0,0,373,FALSE
ORG_INVITE,0,0,268,FALSE
